,id,name,gdp,population
219,756,Switzerland,668851296244.236,8373338.0
220,760,Syrian Arab Republic,,18430453.0
221,762,Tajikistan,6951657158.90093,8734951.0
222,764,Thailand,407026127310.434,68863514.0
223,768,Togo,4399995986.56477,7606374.0
224,772,Tokelau,,
225,776,Tonga,401562006.229967,107122.0
226,780,Trinidad and Tobago,21894706041.2353,1364962.0
227,784,United Arab Emirates,348743265704.561,9269612.0
228,788,Tunisia,42062549394.7859,11403248.0
229,792,Turkey,863711710426.514,79512426.0
230,795,Turkmenistan,36179885714.2857,5662544.0
231,796,Turks and Caicos Islands,,34900.0
232,798,Tuvalu,34218878.4390841,11097.0
233,800,Uganda,24078931933.4578,41487965.0
234,804,Ukraine,93270479388.5243,45004645.0
235,807,Macedonia,,
236,818,Egypt,,
237,826,United Kingdom,2650850178102.14,65595565.0
238,831,Guernsey,,
239,832,Jersey,,
240,833,Isle of Man,,83737.0
241,834,Tanzania,47340071107.343,55572201.0
242,840,United States,18624475000000.0,323405935.0
243,850,Virgin Islands,,
244,854,Burkina Faso,11693235542.0671,18646433.0
245,858,Uruguay,52419720713.7316,3444006.0
246,860,Uzbekistan,67220335569.6147,31847900.0
247,862,Venezuela,,
248,876,Wallis and Futuna,,
249,882,Samoa,786356314.80277,195125.0
250,887,Yemen,,
251,894,Zambia,21063989682.5243,16591390.0
